Card,Role,Element,ManaCost,Dmg,AttackType,Speed,Health,Armor,Ability1,Ability2
Goblin Shaman,monster,fire,3,0,none,2,4,0,weaken,
Giant Roc,monster,fire,5,1,melee,2,4,0,flying,reach
Kobold Miner,monster,fire,2,1,melee,2,2,0,sneak,
Fire Beetle,monster,fire,3,1,ranged,2,4,0,snipe,
Kobold Bruiser,monster,fire,3,2,melee,2,3,0,,
Serpentine Spy,monster,fire,3,2,melee,3,1,0,opportunity,
Magma Troll,monster,fire,4,1,melee,2,3,0,reach,
Goblin Fireballer,monster,fire,2,1,ranged,1,2,0,,
Serpentine Soldier,monster,fire,5,1,melee,4,4,1,shield,
Pit Ogre,monster,fire,6,2,melee,1,7,0,stun,
Cerberus,monster,fire,4,2,melee,3,5,0,heal,
Fire Elemental,monster,fire,5,2,ranged,4,2,0,blast,
Living Lava,monster,fire,7,3,melee,1,6,2,shield,
Spark Pixies,monster,fire,4,2,ranged,5,1,0,flying,
Pyre,summoner,fire,3,0,none,0,0,0,speed+,
Malric Inferno,summoner,fire,3,0,none,0,0,0,melee+,
Pirate Captain,monster,water,3,1,ranged,2,3,0,snipe,
Spineback Turtle,monster,water,4,1,melee,1,6,2,,
Crustacean King,monster,water,3,0,none,1,2,1,tank heal,
Sabre Shark,monster,water,3,1,melee,3,2,0,sneak,
Feasting Seaweed,monster,water,4,2,melee,1,2,0,opportunity,
Albatross,monster,water,1,0,none,1,1,0,flying,
Tortisian Fighter,monster,water,4,2,melee,1,3,1,,
Sniping Narwhal,monster,water,5,2,ranged,2,4,0,snipe,
Alric Stormbringer,summoner,water,3,0,none,0,0,0,magic+,
Medusa,monster,water,4,1,magic,2,3,0,,
Water Elemental,monster,water,5,2,ranged,4,4,0,heal,
Frozen Soldier,monster,water,6,2,melee,2,3,5,shield,
Ice Pixie,monster,water,2,1,magic,3,1,0,flying,
Giant Squid,monster,water,5,2,ranged,1,4,1,,
Serpent of Eld,monster,water,7,3,melee,4,5,2,dodge,
Bortus,summoner,water,3,0,none,0,0,0,magic-,
Peaceful Giant,monster,neutral,5,0,none,1,8,0,,
Grumpy Dwarf,monster,neutral,4,1,melee,2,2,1,reach,
Elven Cutthroat,monster,neutral,3,1,melee,3,1,0,sneak,
Centaur,monster,neutral,4,1,ranged,3,4,0,snipe,
Elven Defender,monster,neutral,8,2,melee,2,8,3,,
Horny Toad,monster,neutral,3,1,melee,1,2,0,reach,
Mantoid,monster,neutral,6,2,ranged,2,5,0,snipe,
Parasitic Growth,monster,neutral,4,1,melee,1,2,0,opportunity,
Cocatrice,monster,neutral,2,1,melee,3,2,0,flying,
Cyclops,monster,neutral,6,2,ranged,1,5,0,,
Enchanted Pixie,monster,neutral,3,1,magic,2,1,0,flying,
Elven Mystic,monster,neutral,4,1,magic,2,3,0,,
Goblin Chariot,monster,neutral,5,2,ranged,3,3,0,,
Tower Griffin,monster,neutral,4,1,ranged,3,3,0,flying,
Flesh Golem,monster,earth,6,2,melee,3,9,0,,
Goblin Sorcerer,monster,earth,3,1,magic,2,2,0,sneak,
Rexxie,monster,earth,7,4,melee,3,6,0,,
Minotaur Warrior,monster,earth,4,1,melee,3,2,1,reach,
Goblin Thief,monster,earth,4,2,melee,2,3,0,sneak,
Failed Summoner,monster,earth,2,0,none,2,4,0,magic reflect,
Biceratops,monster,earth,4,2,melee,1,4,1,,
Orc Sergeant,monster,earth,5,1,melee,2,6,0,reach,
Lyanna Natura,summoner,earth,3,0,none,0,0,0,health+,
Earth Elemental,monster,earth,3,1,ranged,1,6,0,,
Stone Golem,monster,earth,5,1,melee,1,6,2,shield,
Stonesplitter Orc,monster,earth,6,3,melee,3,4,1,retaliate,
Khmer Princess,monster,earth,2,1,magic,1,2,0,,
Unicorn Mustang,monster,earth,8,3,melee,4,10,0,void,
Child of the Forest,monster,earth,3,1,ranged,5,2,0,snipe,
Wizard of Eastwood,summoner,earth,3,0,none,0,0,0,armor--,
Divine Healer,monster,life,3,0,none,1,4,0,tank heal,
Feral Spirit,monster,life,3,1,melee,4,2,0,sneak,
Silvershield Knight,monster,life,6,1,melee,4,5,1,inspire,
Silvershield Warrior,monster,life,4,1,melee,1,3,1,reach,
Cave Slug,monster,life,5,2,melee,1,4,0,opportunity,
Crystal Jaguar,monster,life,4,1,melee,2,5,1,,
Lone Boatman,monster,life,5,2,ranged,2,3,1,snipe,
Herbalist,monster,life,2,1,ranged,1,2,0,,
Tyrus Paladium,summoner,life,3,0,none,0,0,0,armor+,
Peacebringer,monster,life,4,2,ranged,3,4,0,,
Silvershield Paladin,monster,life,5,1,melee,2,5,1,shield,
Clay Golem,monster,life,6,3,melee,1,7,0,void,
Truthspeaker,monster,life,3,0,none,2,1,0,protect,
Luminous Eagle,monster,life,6,2,melee,3,5,0,reach,flying
Shieldbearer,monster,life,8,2,melee,2,9,4,taunt,
Mother Khala,summoner,life,3,0,none,0,0,0,health+,
Animated Corpse,monster,death,4,2,melee,1,6,0,,
Haunted Spider,monster,death,3,2,ranged,1,2,0,,
Skeleton Assassin,monster,death,3,1,melee,4,2,0,sneak,
Spineback Wolf,monster,death,5,1,melee,6,3,1,reach,
Maggots,monster,death,3,1,melee,1,1,0,opportunity,
Cursed Slimeball,monster,death,1,1,melee,1,1,0,,
Giant Scorpion,monster,death,4,1,melee,2,4,1,,
Undead Badger,monster,death,2,1,melee,3,1,0,sneak,
Zintar Mortalis,summoner,death,3,0,none,0,0,0,melee-,
Haunted Spirit,monster,death,5,2,melee,2,7,0,heal,
Twisted Jester,monster,death,4,2,ranged,3,4,0,snipe,
Undead Priest,monster,death,2,0,none,1,3,0,weaken,
Dark Astronomer,monster,death,4,2,ranged,1,4,0,,
Bone Golem,monster,death,7,3,melee,1,6,2,void,
Death Elemental,monster,death,3,1,magic,3,2,0,snipe,
Contessa L'ament,summoner,death,3,0,none,0,0,0,ranged-,
Drake of Arnak,summoner,dragon,4,0,none,0,0,0,armor+,
Naga Assassin,monster,dragon,2,1,ranged,5,2,0,,
